    MATRICULE         DIRECTION      HEURE D'EMBAUCHE
      6567               DAF                   07h30-16H30
        6                DAI                     08h-17H
      5412               DAI                     08h-17H
      7563               DPAS                    08h-17H
       835                  D.E.C                08h-17H
      3418                  D.E.C                08h-17H
      3308               DCC                     07h-16H
      7428               PRMP                    08h-17H
      3719               DEPP                    08h-17H
      3091                  D.E.C                08h-17H
      7528                DD                     08h-17H
      3453               DRH                     08h-17H
      4755                DD                     08h-17H
      3457               DPAS                    07h-16H
      3101                  D.E.C                08h-17H
      4595                SG                     07h-16H
      4416               DPAS                    08h-17H
      7697               PRMP                    08h-17H
      3481               DRH                     08h-17H
      7668               CCRP                    08h-17H
      3894               DPAS                    08h-17H
      3537               DCC                     08h-17H
      3707               DCC                     08h-17H
      4137              DPMEER                   08h-17H
       716                  D.E.C                08h-17H
      3030               DPAS                    07h-16H
      7001               DAF                     08h-17H
      4381               DPAS                    07h-16H
      4652               DAI                     08h-17H
      3617                  D.E.C                08h-17H
      3084              DPMEER                   08h-17H
        9                DSI                     08h-17H
      7077                SG                   07h30-16H30
      7777               DAF                   07h30-16H30
       980               DPAS                    08h-17H
      4168               DSI                     07h-16H
      3544                DJ                     07h-16H
      4352               DSI                     08h-17H
      4774               DRH                     08h-17H
      4458              DPMEER                   08h-17H
      7640               DAF                   07h30-16H30
      7700               DAF                   07h30-16H30
      1211               DAI                     08h-17H
      7568               DPAS                    08h-17H
      6072               DAF                     08h-17H
      3130                  D.E.C                08h-17H
      3470               DAF                     08h-17H
      3946               DEPP                    08h-17H
      4317                  D.E.C                08h-17H
      4021                  D.E.C                08h-17H
      7012                  D.E.C                08h-17H
      3265              DPMEER                   08h-17H
      3656               CCMP                  07h30-16H30
      3369                  D.E.C                08h-17H
      3904               CCRP                    08h-17H
      3096               PRMP                    08h-17H
      3312                  D.E.C                08h-17H
      3097                DJ                     08h-17H
      7416               DAF                   07h30-16H30
      3516                DD                     08h-17H
      7793               PRMP                    08h-17H
      4086           GOUVERNANCE               07h30-16H30
      4643              DPMEER                   08h-17H
      7311               DAF                     08h-17H
      6070               DAF                     08h-17H
      2481                  D.E.C                08h-17H
       912               DCC                     08h-17H
      7655               DSI                     07h-16H
      4637               DAF                     08h-17H
      7099               CCRP                    08h-17H
      4334              DPMEER                   08h-17H
      3092               PRMP                    08h-17H
      3510               CCMP                  07h30-16H30
      2414               DRH                     08h-17H
      3108               DEPP                    08h-17H
      4660               DPAS                  07h30-16H30
      4848               DAF                     08h-17H
      7569               DPAS                    08h-17H
      3836               DPAS                    07h-16H
      7673               DPAS                    07h-16H
       931                  D.E.C                08h-17H
      3514               DCC                     08h-17H
      7674               DPAS
      5015               DPAS                    08h-17H
      1117                SG                     08h-17H
      7177               CESS                    08h-17H
      6089               DPAS                    08h-17H
      3437              DPMEER                   08h-17H
      4353                  D.E.C                08h-17H
      3068               DPAS                    08h-17H
      3208                  D.E.C                08h-17H
      3438               DCC                     07h-16H
      3675               DPAS                    07h-16H
       830                  D.E.C                08h-17H
      3625               DPAS                    08h-17H
      7669               DAF                     08h-17H
      7711              DPMEER                   08h-17H
      5600               DPAS                    08h-17H
      7696                DJ                     08h-17H
      5599                SG
      2487               CCMP                  07h30-16H30
      4485           GOUVERNANCE                 08h-17H
      4376                DD                     08h-17H
      6568               DAF                   07h30-16H30
      3975               DEPP                    08h-17H
      4070               DRH                   07h30-16H30
      3463               DPAS                    08h-17H
      7031               DRH                     08h-17H
      7736               PRMP                    08h-17H
       960               DAI                     08h-17H
      3480               DPAS                  07h30-16H30
      4267               DRH                     08h-17H
      7780               DSI                   07h30-16H30
      3103                DJ                   07h30-16H30
      5591               DPAS                    08h-17H
      3641                  D.E.C                08h-17H
      4639               CSE                     08h-17H
      4639               CSE                     08h-17H
      4639               CSE                     08h-17H
      3963                  D.E.C                08h-17H
       862               DAI                     08h-17H
       838               CESS                    07h-16H
      3404                  D.E.C                08h-17H
      2354               DPAS                    08h-17H
      4555               DPAS                    07h-16H
      7775               DSI                   07h30-16H30
      4619               DPAS                    07h-16H
      4265               DAF                     07h-16H
      6075               DPAS                    07h-16H
      5568               DPAS                    08h-17H
      7041               DPAS                    08h-17H
      4401               DCC                     07h-16H
      7081               DRH                   07h30-16H30
      7748               DAF                   07h30-16H30
       454                DD                     08h-17H
      7075           GOUVERNANCE                 08h-17H
      6018               CCMP                  07h30-16H30
      3818                DD                     08h-17H
      3271               DRH                     08h-17H
      4263               DAF                     08h-17H
      7653              DPMEER                   08h-17H
      4635              DPMEER                   08h-17H
      7740               DAF                     08h-17H
      3087               DEPP                    08h-17H
       474               DAF                     08h-17H
       458               DAI                     08h-17H
      4502               DEPP                    08h-17H
        4                 DD                     08h-17H
      4124               DPAS                  07h30-16H30
       460               DEPP                    08h-17H
      4069               DCC                     08h-17H
      3612               PRMP                    08h-17H
      7562               DPAS                    08h-17H
      7092               DAF                     08h-17H
      3659               CESS                    08h-17H
      3472               DCC                     08h-17H
      4424                  D.E.C                08h-17H
      7761               PRMP                    08h-17H
      7735               PRMP                    08h-17H
      7178               CESS
      4205               DPAS                    08h-17H
      3961               DCC                     08h-17H
      3683                  D.E.C                08h-17H
      3969               DCC                     08h-17H
      6007               DSI                     08h-17H
      7011               DPAS                    07h-16H
      4472               CSE                     08h-17H
      4472               CSE                     08h-17H
      4472               CSE                     08h-17H
      7029               DPAS                    07h-16H
      6000               DRH                     08h-17H
      1964               PRMP                    08h-17H
      4670               DSI                     08h-17H
      4389                  D.E.C                08h-17H
      7101               DRH                     08h-17H
      3662               DPAS                    07h-16H
      7006               DPAS                    07h-16H
      7107               DAF                     08h-17H
      7005               DPAS                    07h-16H
      7369              DPMEER                   08h-17H
      7802               DRH                   07h30-16H30
      3352                DD                     08h-17H
      3314                SG                     08h-17H
      3061               DAF                     08h-17H
      3273               DAI                     08h-17H
        5                DRH                     08h-17H
      7651               DEPP                    08h-17H
      2433                DD                     08h-17H
      4022               DAI                     08h-17H
      3093                  D.E.C                08h-17H
       537               DAI                     08h-17H
       737                  D.E.C                08h-17H
       995              DPMEER                   08h-17H
      7028               DPAS                    07h-16H
      3023               DRH                     08h-17H
      7018                  D.E.C                08h-17H
      6001               DRH                     08h-17H
      3839               DAI                     08h-17H
      1662               DPAS
       10                DPAS
      4720               DCC                     08h-17H
      6012               PRMP                    08h-17H
      4683               DSI                   07h30-16H30
      4155               DAI                     08h-17H
      7713                SG                     08h-17H
      3652               DAF                     08h-17H
      4607              DPMEER                   08h-17H
      5999               DRH                     08h-17H
      3899               DPAS                    07h-16H
      3244                  D.E.C                08h-17H
      7739               CESS                    08h-17H
      6008               DAF                   07h30-16H30
      7008               DPAS                    07h-16H
      4644              DPMEER                   08h-17H
      3628               DAI                     08h-17H
      3195                  D.E.C                08h-17H
      4370               DRH                   07h30-16H30
      3090               DAI                     08h-17H
      3509               PRMP                    08h-17H
      3958               PRMP                    08h-17H
      3067                  D.E.C                08h-17H
      7650               DEPP                    08h-17H
      6446               DPAS
      6071               DAF                   07h30-16H30
      6062               DPAS                    07h-16H
      4367              DPMEER                   08h-17H
      4275               DAF                     08h-17H
      2478               DAI                     08h-17H
      3542                  D.E.C                08h-17H
       829              DPMEER                   08h-17H
      4498               DCC                     08h-17H
      6009               DAF                   07h30-16H30
      3660               CCMP                  07h30-16H30
      3635              DPMEER                   08h-17H
      7003                  D.E.C                08h-17H
      3115                  D.E.C                08h-17H
      3277               DCC                     08h-17H
      7792               PRMP                    08h-17H
      3044               DPAS                    07h-16H
      3131                DD                     08h-17H
      4125               DPAS                  07h30-16H30
       628                  D.E.C                08h-17H
      7769               DPAS
      7097               DAF                   07h30-16H30
      3095                  D.E.C                08h-17H
      7413               DAF                     08h-17H
       11                DAF
      3746               CCMP                  07h30-16H30
      7520               PRMP                    08h-17H
      3279                  D.E.C                08h-17H
      6046               DAF                   07h30-16H30
      3146                  D.E.C                08h-17H
      4319               DPAS                    08h-17H
      7023              DPMEER                   08h-17H
      7023               DPAS                    07h-16H
      7609               DSI                     07h-16H
      4663                DD                     08h-17H
      7565               DPAS                    08h-17H
      3021               DRH                     08h-17H
      7515               DPAS                    08h-17H
      3474               DSI                     08h-17H
      7786               DAF                   07h30-16H30
      3475                DJ                   07h30-16H30
      3685               DEPP                    08h-17H
      3106                SG                   07h30-16H30
       489                SG                     08h-17H
      3102                  D.E.C                08h-17H
      4713               DPAS                    07h-16H
      4408               DCC                     08h-17H
      4497               DEPP                    08h-17H
      3520              DPMEER                   08h-17H
        8                DEPP                    08h-17H
      7209               DPAS                    08h-17H
      3709                  D.E.C                08h-17H
      3581               DAF                     07h-16H
      7714                SG                     08h-17H
      7417                DJ                   07h30-16H30
      4609               DCC                     08h-17H
